Date,Investment Category,Type,Stock,Transacted Units,Transacted Price (per unit),Fees,Stock Split Ratio,Previous Units,Cumulative Units,Transacted Value,Previous Cost,Cost of Transaction,Avg Stock Price,Cumulative Cost,Gains/Losses from Sale,Realised Gains/Losses %,,,,,,,
2022-09-22,US Stock IB,Div,VYM,910,$0.77,$209.45,0.0,910,910,$488.70,"$99,824.47",-,-,"$99,824.47",$488.70,,,,,,,,
2022-10-04,US Stock IB,Div,VOO,110,$1.47,$48.48,0.0,110,110,$113.13,"$43,708.40",-,-,"$43,708.40",$113.13,,,,,,,,
2022-10-20,US Stock IB,Sell,Y,170,$848.02,$0.00,0.0,170,0,"$144,163.40","$143,524.20","$143,524.20",$844.26,$0.00,$639.20,,,,,,,,
2022-10-31,US Stock IB,Sell,TWTR,2060,$54.20,$0.00,0.0,2060,0,"$111,652.00","$100,898.80","$100,898.80",$48.98,$0.00,"$10,753.20",,,,,,,,
2022-10-31,US Stock IB,Div,JPM,300,$1.00,$90.00,0.0,300,300,$210.00,"$39,315.02",-,-,"$39,315.02",$210.00,,,,,,,,
2022-10-31,US Stock IB,Div,QQQ,645,$0.52,$100.34,0.0,645,645,$234.13,"$213,221.89",-,-,"$213,221.89",$234.13,,,,,,,,
2022-11-10,US Stock IB,Div,AAPL,2120,$0.23,$146.28,0.0,2120,2120,$341.32,"$347,581.64",-,-,"$347,581.64",$341.32,,,,,,,,
2022-11-15,US Stock IB,Div,PG,400,$0.91,$109.60,0.0,400,400,$255.72,"$58,363.36",-,-,"$58,363.36",$255.72,,,,,,,,
2022-12-01,US Stock IB,Div,V,450,$0.45,$60.75,0.0,450,450,$141.75,"$98,138.25",-,-,"$98,138.25",$141.75,,,,,,,,
2022-12-05,US Stock IB,Div,PFE,1000,$0.40,$120.00,0.0,1000,1000,$280.00,"$52,640.84",-,-,"$52,640.84",$280.00,,,,,,,,
2022-12-13,US Stock IB,Div,UNH,200,$1.65,$99.00,0.0,200,200,$231.00,"$102,093.00",-,-,"$102,093.00",$231.00,,,,,,,,
2022-12-22,US Stock IB,Div,VYM,910,$0.97,$266.04,0.0,910,910,$620.76,"$99,824.47",-,-,"$99,824.47",$620.76,,,,,,,,
2022-12-22,US Stock IB,Div,VOO,110,$1.67,$55.17,0.0,110,110,$128.72,"$43,708.40",-,-,"$43,708.40",$128.72,,,,,,,,
2022-12-30,US Stock IB,Div,QQQ,645,$0.66,$126.82,0.0,645,645,$295.92,"$213,221.89",-,-,"$213,221.89",$295.92,,,,,,,,
